j1,j2,j3,j4,j5,j6,end_effector_x,end_effector_y,end_effector_z,quat_x,quat_y,quat_z,quat_w,manipulability
2.580334403170555735e+00,-1.971663186265348588e-01,7.477320777545676256e-02,3.267513940941797479e+00,-2.121901504290805374e+00,-4.467730886109913535e-01,-9.349174391323662459e-01,6.148546698146371003e-01,4.000000000000000222e-01,-6.370811961317673910e-01,-3.068021341766004051e-01,0.000000000000000000e+00,7.071067811865475727e-01,8.547987526709443368e-03
2.686089108570230088e+00,-3.333960959854683770e-01,5.982118606262044613e-01,2.880076943886067387e+00,-2.228054186769289569e+00,-4.465990854919417719e-01,-9.349174391323662459e-01,5.148546698146370115e-01,3.000000000000000444e-01,-6.370811961317673910e-01,-3.068021341766004051e-01,0.000000000000000000e+00,7.071067811865475727e-01,5.795578603099815068e-02
2.685166445348020847e+00,-4.255989602182333464e-01,5.393815976538530732e-01,3.029503614365645081e+00,-2.226390304523929942e+00,-4.475963065204686120e-01,-9.349174391323662459e-01,5.148546698146370115e-01,4.000000000000000222e-01,-6.370811961317673910e-01,-3.068021341766004051e-01,0.000000000000000000e+00,7.071067811865475727e-01,5.268304553513931954e-02
2.324414413269551005e+00,-1.958073044783194272e-02,1.767955066835922573e-01,3.221092395215833015e+00,-1.862041681054475317e+00,-3.782303907230553652e-01,-8.365491948138714662e-01,8.182430454012609156e-01,1.333781400934471728e-01,-7.044058256496908976e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587337054e-01,2.345094774792256739e-02
2.324641423884927782e+00,-1.316566377838534752e-01,1.676851594206108242e-01,3.340646383280911458e+00,-1.862476809291612856e+00,-3.786525198602860853e-01,-8.365491948138714662e-01,8.182430454012609156e-01,2.333781400934471784e-01,-7.044058256496908976e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587337054e-01,2.227323093599618137e-02
2.322502082834099202e+00,-2.390838453542705466e-01,1.518164904789360559e-01,3.461820300003213724e+00,-1.859282904875091846e+00,-3.797398918342387852e-01,-8.365491948138714662e-01,8.182430454012609156e-01,3.333781400934472394e-01,-7.044058256496910086e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587335944e-01,1.996372645242775606e-02
2.484179928905977164e+00,-9.801120227564334708e-02,3.172841903034653299e-01,3.475801421744290742e+00,-2.171076005175188506e+00,1.162676206450041355e-01,-8.699273349073185502e-01,7.182430454012610488e-01,6.508256086763372639e-02,-8.254950557474575179e-01,-1.884138596156904322e-01,0.000000000000000000e+00,5.320320765153366827e-01,3.680590195009663529e-02
2.420749688026274882e+00,-7.121693111665512721e-02,2.954052478987679864e-01,3.160462529111499386e+00,-1.962745964996808423e+00,-3.545562986607426192e-01,-8.365491948138714662e-01,7.182430454012610488e-01,1.333781400934471728e-01,-7.044058256496908976e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587337054e-01,3.721179676626394650e-02
2.421072903246232588e+00,-1.913187542498629989e-01,2.842049934294331170e-01,3.292175870520644754e+00,-1.963249786983901624e+00,-3.543265251636614765e-01,-8.365491948138714662e-01,7.182430454012610488e-01,2.333781400934471784e-01,-7.044058256496908976e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587337054e-01,3.589642486335468952e-02
2.418823649403308629e+00,-2.966343368094669364e-01,2.457925902598596668e-01,3.435590446235994300e+00,-1.959583421927683755e+00,-3.549467601387806259e-01,-8.365491948138714662e-01,7.182430454012610488e-01,3.333781400934472394e-01,-7.044058256496910086e-01,-3.392239669730521268e-01,0.000000000000000000e+00,6.234898018587335944e-01,3.083568341768588850e-02
