j1,j2,j3,j4,j5,j6,end_effector_x,end_effector_y,end_effector_z,quat_x,quat_y,quat_z,quat_w,manipulability
2.557756399098593203e+00,-2.908501558311865458e-05,1.764072803958946500e-01,3.187898554777985005e+00,-2.099393836612208464e+00,-3.245713664941758392e-01,-9.372643645407003898e-01,6.416799883372314994e-01,1.281071971878586790e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.103068037030985868e-02
2.558357128393437208e+00,-5.793162958866472645e-02,1.755062164866099117e-01,3.245797835883385662e+00,-2.100533390889038454e+00,-3.249160671122438004e-01,-9.372643645407003898e-01,6.416799883372314994e-01,1.781071971878586957e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.097504356938192580e-02
2.558360291307937295e+00,-1.144597665673535575e-01,1.712561935631545518e-01,3.305761622162878499e+00,-2.100599371215077671e+00,-3.253293321728652487e-01,-9.372643645407003898e-01,6.416799883372314994e-01,2.281071971878586846e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.046957053020927869e-02
2.557755319834940089e+00,-1.696656473747270855e-01,1.646498962231193186e-01,3.366684122062989282e+00,-2.099585274651857070e+00,-3.258952964909418992e-01,-9.372643645407003898e-01,6.416799883372314994e-01,2.781071971878587012e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,1.963334954805789553e-02
2.556530919265445956e+00,-2.243112222305128634e-01,1.581536441924591696e-01,3.426688396035429296e+00,-2.097493088755290724e+00,-3.267016232235452344e-01,-9.372643645407003898e-01,6.416799883372314994e-01,3.281071971878587457e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,1.876339454161451634e-02
2.558920922642977658e+00,-1.908334962195255835e-01,1.132582602518156512e-01,3.295301111984711095e+00,-2.107801289788265642e+00,-4.000355417414976911e-01,-9.362591329910204818e-01,6.395437625550912664e-01,3.594185779293970207e-01,-6.595905344899156697e-01,-3.103797457566520590e-01,0.000000000000000000e+00,6.845471059286887261e-01,1.319682957453018578e-02
2.612100184217240439e+00,-4.420332059665096902e-02,2.949013733601387743e-01,2.971693220427485738e+00,-2.163295994107136355e+00,-3.940099960651646249e-01,-9.362591329910204818e-01,5.895437625550914440e-01,1.594185779293970096e-01,-6.595905344899156697e-01,-3.103797457566520590e-01,0.000000000000000000e+00,6.845471059286887261e-01,3.263252239809456140e-02
2.612783257559043726e+00,-1.063026344435223924e-01,3.013169870742773426e-01,3.026341592275998860e+00,-2.164557957101757690e+00,-3.945459093411574636e-01,-9.362591329910204818e-01,5.895437625550914440e-01,2.094185779293969984e-01,-6.595905344899156697e-01,-3.103797457566520590e-01,0.000000000000000000e+00,6.845471059286887261e-01,3.340488473338263514e-02
2.611094373276702019e+00,-1.878882727989713008e-01,1.981589408861572366e-01,3.358783129358228869e+00,-2.154773709980791541e+00,-3.119530999195308518e-01,-9.372643645407003898e-01,5.916799883372316771e-01,2.781071971878587012e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.276680788034381522e-02
2.609837163618615286e+00,-2.428073873443317154e-01,1.892382185763062941e-01,3.421791237650395612e+00,-2.152542819293032483e+00,-3.126480264306930601e-01,-9.372643645407003898e-01,5.916799883372316771e-01,3.281071971878587457e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.163958475982641697e-02
2.607982646921996217e+00,-2.949884017007761150e-01,1.768456775912782553e-01,3.485100798484707330e+00,-2.149279222277507007e+00,-3.136899726143588252e-01,-9.372643645407003898e-01,5.916799883372316771e-01,3.781071971878587346e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,2.008029607378958650e-02
2.605552853919096634e+00,-3.443195772024654211e-01,1.615295450852416437e-01,3.547920720183954213e+00,-2.145059623995188680e+00,-3.151420573850332030e-01,-9.372643645407003898e-01,5.916799883372316771e-01,4.281071971878587235e-01,-6.971812263468518678e-01,-3.280685826505824187e-01,0.000000000000000000e+00,6.374239897486898565e-01,1.816984993611198834e-02
2.608441517958828726e+00,-3.078958481635673539e-01,1.129425956116722474e-01,3.412938114278507573e+00,-2.156856563873743138e+00,-3.967155643587377267e-01,-9.362591329910204818e-01,5.895437625550914440e-01,4.594185779293969984e-01,-6.595905344899156697e-01,-3.103797457566520590e-01,0.000000000000000000e+00,6.845471059286887261e-01,1.247090150567612549e-02
